Reference		HB A551 pup2	HB A425 pup1	HB A424 pup 2	HB A554 pup 1	HB A554 pup 2	HB A424 pup 1	HB A424 pup 2	HB A550 pup 1	HB A550 pup 2	HB A550 pup 3	HB A197 pup 1	HB A403	HB A406	HB A422	HB A306	HB A307	HB A308	HB A608	HB A609	HB A610	HB A611	HB A612	HB A305	HB A804	HB A234	HB A197	HB A493	HB A494	HB A495	HB A287	HB A283	HB A284	HB A285	HB A647	HB A286	HB A635	HB A405	HB A615	HB A372	HB A373	HB A552	HB A555	HB A125	HB B102	HB B105	HB A806	HB B076	HB B093	HB B461	HB B463	HB B112	HB B119	HB B123	HB B068	HB B462	HB B094
Oocyte HB heteroplasmy (%)		40.76358191	26.51700693	7.433405136	26.91976084	25.11018547	18.15190587	38.7473157	8.336942025	13.26632847	1.698951249	32.47235238	38.00170734	12.81963964	8.942929039	11.88371436	12.92143562	10.18965044	1.211873025	24.02195416	9.399451648	12.51515455	7.808286881	5.079257278	30.0579503	30.1533664	3.799263989	31.97885216	23.88164474	19.4945931	0.268715495	0.50209732	0.640375734	0.342398014	5.682275624	9.673176039	23.14941425	1.708982498	7.919393613	23.32211716	7.070650437	7.235087724	9.704665144	2.397584503	89.47184621	88.13034136	28.93323751	43.47732872	81.35290164	73.97658898	80.57721755	46.24956881	67.55301638	67.82564221	34.87375863	72.26171423	88.2473443
Oocyte HB heteroplasmy (%)		43.38154637	30.5984165	7.60796115	28.79476045	25.70712289	21.96684494	41.72495634	9.263856501	16.88075882	1.706727566	32.63264356	39.2255429	13.78968144	12.10739482	14.34934528	17.84714288	16.26428845	5.690009248	24.74534555	12.79582038	12.98100487	18.71398877	5.780340019	32.52818784	53.11741932	5.479692917	33.31680321	26.68489285	29.36012369	0.406878605	0.896732402	1.270806827	0.348119601	6.116734187	10.75199445	32.48866752	7.008573615	21.7034481	24.80063588	9.688003326	10.98330298	15.71605084	8.067219879	89.97248967	88.88981964	30.29630946	45.03453294	83.16585804	75.73874548	89.87185752	84.47981814	69.9850086	69.66521565	45.93659348	79.67393721	88.86804857
Oocyte HB heteroplasmy (%)		44.08440371	31.80279759	7.941946	29.3736039	29.12843816	23.65356848	43.91852356	10.75574596	20.14747223	1.838981266	37.05273807	45.90773749	15.91997713	13.85612842	19.51934507	21.70823062	18.80683636	6.837491419	26.37616368	13.57940665	15.1837335	19.0506709	9.732836003	33.38922044	54.60257147	9.126125607	34.91632784	38.4808583	31.65033497	2.296948156	3.841330453	2.483271605	0.404850748	6.996157159	13.73339425	32.7166017	7.580394501	22.69282678	26.15045529	17.56471435	11.145325	26.94534972	9.258478403	94.81544108	89.40162958	33.21081734	51.25087327	86.91262769	76.8000786	90.09462515	89.59862295	72.5075644	73.01906899	46.26213272	81.68128633	89.99177451
Oocyte HB heteroplasmy (%)		44.20914432	33.23296766	9.638634114	29.76955537	30.82522097	23.948153	46.38982668	13.45518736	20.1853221	1.917428899	37.06589735	50.86486735	16.58327868	15.72290268	21.58223083	26.00318538	19.2415328	12.48046288	26.7756628	15.09555921	15.21481337	19.66552581	10.46492945	33.49260773	56.98247264	10.50990822	38.46967147	48.65358457	31.97299967	3.327110249	4.372729467	2.94983637	1.680339117	8.595278407	20.36888151	32.72745245	12.68081123	22.8667461	26.81975585	22.0387169	16.73788715	30.51781058	12.48965568	94.85520269	89.48213715	35.69353301	54.95233958	87.71471084	77.45756274	90.3562045	90.25561246	73.68896867	76.8775808	57.54226156	83.11002761	90.64360442
Oocyte HB heteroplasmy (%)		46.5882972	36.42438069	9.71934761	30.17088742	36.52939449	24.60690913	47.52274007	13.4625677	20.19112384	2.032040536	37.96067119	50.96274648	20.31923821	18.76002628	22.77775323	26.5103208	19.26321666	13.58145013	27.90476919	15.72171335	15.39206744	20.6113013	10.48443814	36.59487405	57.31779875	15.82444177	43.7280743	51.66803631	42.64157084	4.866190543	5.591482883	3.522139172	1.815054841	9.002743117	21.35346972	33.93914768	15.57611133	25.9558793	31.7588216	28.3681684	22.78091015	32.87776143	13.10233331	94.8751662	89.72064277	36.34796925	60.91449072	87.80866076	78.80538774	90.9752549	91.28844916	76.61164512	78.44446558	57.89819318	83.30544433	90.96214209
Oocyte HB heteroplasmy (%)		46.73193649	37.70462306	10.27925397	36.72868472	36.68775613	25.86652424	47.92798721	15.81571183	21.25013777	2.769876149	39.46773011	51.65138078	20.59966977	19.05328526	22.92469072	29.17432832	19.65213456	16.13276666	28.22187275	15.77925225	15.6953029	21.52628865	10.49907387	37.93915395	60.74586097	16.29143823	46.00792985	51.8663364	46.66744461	5.415606437	6.353480776	5.41180604	2.073581076	9.428791017	21.63255505	38.92784121	16.50396556	26.30566473	40.47619607	32.46331815	26.12617492	35.65233914	19.1286062	95.35196802	91.01897421	40.26626786	61.09142517	87.85214593	79.39731024	92.69622215	97.08664853	78.0693981	78.962689	59.35008118	83.94174507	93.75131588
Oocyte HB heteroplasmy (%)		46.93474034	37.87840176	12.44163458	37.1174081	38.22934772	26.04075803	49.45466161	16.30018609	23.73368967	2.772666217	39.9875848	51.65426164	21.75158969	19.52333088	23.89939256	29.55241456	20.56123601	16.23108131	29.33685267	16.79644805	16.10946321	22.9772911	10.51622715	38.26958975	62.98931413	16.35654647	49.4237248	53.11386287	49.60959017	5.976967563	6.911952081	5.799937983	2.369285007	9.534071529	22.25090222	39.73592886	17.73308146	28.1957946	40.57522545	32.88740729	26.97307099	35.95673596	22.22240095	95.77331419	91.86417755	41.46076237	63.51844058	88.09946005	80.55165576	92.95633527	97.41724061	80.82754546	81.70475822	62.34198695	85.85830375	95.00598147
Oocyte HB heteroplasmy (%)		47.37809327	38.67010342	14.29910619	40.21253527	38.33166293	26.23190138	51.43405386	16.39068559	24.87580527	2.878083395	41.14367749	51.8085178	23.57923089	20.75678439	23.94639998	31.35941429	20.58016596	16.32087124	29.42623504	17.48052703	18.30435955	23.49360627	10.84093707	38.70367126	63.82763051	17.02572196	50.07907713	53.84027926	49.94376813	6.204799046	7.502342409	8.467765708	4.511778729	9.901759073	27.59852714	40.89088198	19.56671762	30.59608986	42.37292742	36.2179089	42.87943637	47.44597774	22.56480144	95.78358861	92.9298491	44.49059194	64.43304565	88.10608654	80.6355173	94.04268577	98.61552422	86.3335541	83.55994061	64.26505979	88.22381864	95.29711073
Oocyte HB heteroplasmy (%)		48.04437382	39.24967577	14.79416591	40.47351261	40.37471624	26.32502421	51.50945002	18.42537743	25.16849784	2.936645199	42.99361279	51.96576295	23.76553297	22.48669697	24.31344067	33.23607763	20.63409588	17.26713285	30.38728815	17.54971509	20.27268802	25.64433384	11.33713427	39.39085521	65.56615331	17.82485617	54.11393846	54.36586463	50.89401141	6.253296838	7.662887133	10.48856321	5.559040423	10.68595865	31.47626615	41.79511416	21.70951351	31.22239499	46.28835732	38.84195664	56.96239008		22.7112882	97.17957137	93.41528364	51.18426125	64.50997948	88.60783909	80.79578285	94.66251625	99.43890394	90.00831793	86.20140943	65.76157113	90.80682104	95.41024264
Oocyte HB heteroplasmy (%)		48.36498533	39.52918085	15.96773954	43.55283393	43.64412937	26.89851179	52.77936231	18.6847946	26.15891414	3.003133401	43.71388332	54.07479015	26.22401485	22.71060776	25.05945571	34.46268534	20.88997994	18.30821776	30.52341537	17.76796259	23.18727263	26.21382268	11.36844545	39.88219697	65.59732785	19.27674982	55.63307714	54.55318439	51.63650337	6.702663615	9.284357868	10.60984619	5.644736865	11.13517208	35.10797762	43.80817538	23.07056835	31.74645505	49.5766174	40.20916416	59.04676552		25.1970233	97.99074354	93.61016794	51.34548687	66.89705207	89.11684128	82.90791163	95.40516029	99.48298134	91.89200006	88.04140176	70.14554533	91.05835899	95.97174515
Oocyte HB heteroplasmy (%)		48.54059106	39.66603173	16.99931919	45.81054362	44.81891222	26.92633692	52.8064816	20.66035667	26.99345584	3.026335569	43.74447079	54.20122232	28.31673459	23.19448668	25.51473337	35.71315193	21.30371095	19.49871263	33.35517781	17.87169229	23.18731827	26.52705644	11.84190772	41.32266406	66.4053254	19.74391017	59.08417878	54.7858434	52.59086222	7.707246443	9.566995482	11.1367406	6.511091184	12.08605256	36.08332328	44.98576372	26.50292835	34.44243418	55.04620186	43.49499023			31.3217336	98.01912863	94.37855436	56.42512893	68.49455744	89.60311914	83.73099542	96.91657517	99.59587835	94.19678665	89.73525278	70.96418069	91.31392555	96.30854708
Oocyte HB heteroplasmy (%)		48.73989823	41.40774652	17.05561684	46.6918701		27.77554506	52.94263996	20.68577664	27.29229233	3.031875951	44.18028316	54.35249033	29.60508084	23.36651006	25.62539984	36.86107525	21.66369122	21.07457971	38.87601391	19.8319912	23.99744396	26.79085393	13.79193059	42.19452116	68.01999905	20.0305506	60.18070753	57.13209196	58.13246391	8.333210846	10.99436355	11.95312971	7.112806142	12.1903143	38.03676719	46.18802703		36.23844154	56.85116513	43.97546818			33.39649505	98.08515959	94.86747316	57.44678955	68.69864445	89.87315757	88.11111184	97.49578857	99.63402301	95.58927735	93.09510262	72.03058585	91.81847136	96.32586109
