Reference	LE A624 pup 1	LE A624 pup 2	LE A624 pup 3	LE A620	LE A622	LE A226	LE A223	LE A224	LE A206	LE A382	LE A280	LE A154	LE A155	LE A150	LE A111	LE A75	LE A754	LE A761	LE A762	LE A795	LE A842	LE A839	LE A924	LE A974	LE A934	LE B473	LE B474	LE B521	LE B522	LE B026	LE B028	LE A975	LE B086	LE B554	LE B085	LE B087	LE B553	LE A887	LE A888	LE A889	LE B135	LE B301	LE B555
Oocyte LE heteroplasmy (%)	50.83042505	40.25417331	42.43196681	2.211594753	23.06804823	30.31356925	19.09130686		26.50258424	13.57599594	11.04664739	8.414643437			39.03085656	49.70575789	74.79154667	25.01087741	17.87592228	49.15653557	57.72011355	32.66694999	46.0267952	46.11121948	74.48199275	78.34553659	79.63509097	68.88173605	86.1530664	37.99329409	42.60898711	44.83090378	81.97552271	75.15886813	44.31977069	83.91889868	85.79845412	41.41373651	66.04498175	62.57462615	79.59301374	83.61143445	99.12959489
Oocyte LE heteroplasmy (%)	50.8497279	41.14630652	42.56746366	2.476375278	25.30205775	31.06555862	21.03537336		28.18722393	15.06379964	13.83843013	8.69907794			40.97835579	50.11551552		39.83420011	34.26736252	49.58872491	58.50693796	42.33886302	48.33256866	46.52491122	74.98667782	79.14148935	80.29932793	70.80489796	86.54632847	43.48647062	44.60288297	45.0828936	82.98352907	75.26048143	45.21695667	84.10306613	86.94172788	44.65025434	66.6414436	63.65628702	81.13808043	83.69911357	99.19075827
Oocyte LE heteroplasmy (%)	52.38719551	42.23723975	47.33751632	2.913918337	25.733841	31.827963	21.67245663		28.36950178	15.96690149	15.64373793	18.98242954			42.6720608	50.49461797		47.32012841		49.76140275	62.89363834		48.92691912	48.9887448	75.45511859	91.46679675	80.48624981	71.16261527	87.07839919		46.43529017	45.94395293	84.96464623	75.27801827	51.73633462	91.50813131		44.87657775	66.81217732	63.83338733	81.45828392	84.44733554	99.49559968
Oocyte LE heteroplasmy (%)	52.47910874	43.21396155	47.60603915	3.561586052	26.36741417	32.86851441	24.38965507		33.10071659	18.03588033	17.78095812	24.7335948			42.97988233	51.40791762				50.49709103	64.96028492		54.03083681	50.94474236	75.73653641		81.31005186	72.26144458	88.22442379		47.28819935	50.78437183	86.92988051	76.98306946	52.88328307	95.02481507	58.87705711	45.7086162	66.84675376	65.66077898	82.90184731	85.67738462	99.51157536
Oocyte LE heteroplasmy (%)	53.0059748	45.65990141	48.93700226	4.058940248	30.97765489	33.94916972	25.38715139		34.78662055	18.16264854	18.11125475	27.87382527			43.51568284			1.588323379		58.47598477	65.30048943			52.89606632	77.5601559		82.42679322	72.7671171	88.62422233		47.35377046	53.52166731		76.99872671	53.76790264	98.27924302	61.63644058	46.05162051	69.35759242	75.07191915	87.66306677	85.97228674	
Oocyte LE heteroplasmy (%)	54.38227404	46.2199019	49.04150418	4.838704516	32.41272452	34.44355968	25.6216467		36.84553585	22.09733381	18.35914837				46.8990886			5.738705394		58.89671205	65.81231524			53.71998439	82.15484945		84.13646368	72.95474091	88.89301718		49.7249514	62.18800634	50.85914167	80.06867623	60.8020812		63.46363166	48.75737349	75.09118867	79.71260201	94.30044404	86.21235748	
Oocyte LE heteroplasmy (%)	56.32932331	46.2655088		10.51636436	33.39294423	34.80307728	26.47663467		40.49722773	25.66434716	18.94451277							6.078981225		66.41803156	67.45037486			53.81254132	83.09336641		84.3908291	74.36632609	88.98148115		49.86584039		52.02057527	81.35095688	61.01755042		63.60052335	49.49772193	79.44380063			91.31991727	
Oocyte LE heteroplasmy (%)	57.04985946	46.68809739			41.94515894	35.93159156	27.52297885		44.09606942	33.94602204	21.68660035							6.175582307			78.60065735			54.82359541			89.02601545	79.31513758	91.79542709				56.63472063	81.49281176	64.58140958		65.37845229	55.84843999	80.95932792				
Oocyte LE heteroplasmy (%)	59.78928397	48.70681226				38.86480763	29.62744374				24.29052414							7.171702026						57.43562394					92.22850236				58.80588938	84.75074744	77.05366908		65.76436404						
Oocyte LE heteroplasmy (%)						39.5932191	32.64299486				26.63166284							7.795234398															60.25470402	85.95706367	80.72509571		66.751068						
Oocyte LE heteroplasmy (%)						39.80700368	34.29975225				26.73946939							9.517800365															60.57252986	86.85485815			67.61917329						
Oocyte LE heteroplasmy (%)						39.8922047	38.29419214				28.36107094							16.09179573															64.99881519	87.8126152			69.19594326						
Oocyte LE heteroplasmy (%)						41.74276945	39.63607412				28.84297846							18.20565092															65.43469124				70.82502932						
Oocyte LE heteroplasmy (%)						44.80090225	41.16438362				31.98815807							19.80644359															67.45838675	62.10429445			71.71505933						
Oocyte LE heteroplasmy (%)						48.84665228					35.17177727							20.01545674															69.41406343	66.34459659			74.05159678						
Oocyte LE heteroplasmy (%)						49.00957901												22.58514051															70.39352124	70.16156373			74.20366476						
Oocyte LE heteroplasmy (%)																		41.95536161															71.4904626	70.22589931			75.76399095						
Oocyte LE heteroplasmy (%)																		54.96643976															75.08874053	75.56683513			80.31491646						
Oocyte LE heteroplasmy (%)																																	75.22001548	75.99262818			80.39195581						
Oocyte LE heteroplasmy (%)																																	75.6404166	76.01293186			81.1620228						
Oocyte LE heteroplasmy (%)																																	76.25676597	76.25758488			82.49293282						
Oocyte LE heteroplasmy (%)																																	77.70310078	76.83192487			85.53155167						
Oocyte LE heteroplasmy (%)																																	81.97152664	77.13000371									
