0.678	0.681	0.532	0.540	0.604	0.622	0.506	0.741	0.774	0.768	0.689	0.500	0.686	0.563	0.671	0.628	0.647	0.701
0.834	0.609	0.761	0.463	0.581	0.632	0.627	0.924	0.834	0.968	0.529	0.506	0.746	0.610	0.658	0.683	0.510	0.733
0.592	0.822	0.486	0.565	0.550	0.547	0.696	0.818	0.910	0.689	0.579	0.520	0.736	0.563	0.637	0.821	0.695	0.766
0.736	0.715	0.626	0.424	0.438	0.408	0.550	0.568	0.708	0.768	0.525	0.614	0.645	0.516	0.701	0.634	0.642	0.747
0.669	0.802	0.452	0.458	0.520	0.536	0.472	0.505	0.692	0.656	0.562	0.637	0.700	0.653	0.700	0.715	0.731	0.481
0.619	0.473	0.480	0.462	0.533	0.701	0.204	0.555	0.808	0.872	0.495	0.581	0.761	0.682	0.788	0.622	0.595	0.775
0.577	1.000	0.631	0.495	0.534	0.685	0.292	0.677	0.868	0.869	0.622	0.616	0.836	0.612	0.833	0.783	0.802	0.869
0.675	0.982	0.668	0.350	0.706	0.491	0.706	0.659	0.689	0.881	0.530	0.529	0.680	0.754	0.664	0.687	0.742	0.876
0.727	0.838	0.489	0.492	0.490	0.647	0.599	0.669	0.799	0.782	0.563	0.532	0.793	0.667	0.776	0.726	0.660	0.894
0.634	0.591	0.506	0.632	0.484	0.213	0.589	0.699	0.866	0.782	0.597	0.623	0.725	0.460	0.657	0.695	0.597	0.782
0.540	0.754	0.523	0.629	0.611	0.501	0.558	0.923	0.908	0.876	0.614	0.701	0.683	0.500	0.793	0.625	0.591	0.796
0.479	0.649	0.524	0.490	0.579	0.571	0.482	0.952	0.819	0.847	0.529	0.469	0.423	0.692	0.744	0.717	0.719	0.567
0.838	0.764	0.445	0.582	0.644	0.717	0.200	0.897	0.789	0.879	0.502	0.672	0.577	0.691	0.673	0.647	0.731	0.732
0.577	0.576	0.473	0.679	0.671	0.601	0.580	0.600	0.932	0.908	0.666	0.675	0.514	0.752	0.748	0.965	0.784	0.817
0.668	0.539	0.540	0.352	0.320	0.657	0.430	0.588	0.853	0.532	0.580	0.650	0.736	0.584	0.661	0.659	0.705	0.622
0.820	0.735	0.495	0.435	0.766	0.374	0.479	0.703	0.889	0.806	0.609	0.593	0.570	0.636	0.620	0.806	0.563	0.855
0.502	0.735	0.504	0.433	0.640	0.793	0.544	0.750	0.866	0.586	0.627		0.588	0.585	0.414	0.683	0.626	0.751
0.629		0.477	0.522	0.611	0.663	0.475	0.756	0.700	0.858	0.555		0.501	0.624	0.733	0.663	0.689	0.370
0.613		0.618	0.493	0.420	0.772	0.630	0.611	0.911	0.845	0.675		0.645	0.512	0.750	0.421	0.705	0.465
0.493		0.499	0.552	0.501	0.277	0.506	0.893	0.860	0.784	0.735		0.569	0.549	0.638	0.698	0.724	0.710
0.641		0.444	0.434	0.576	0.611	0.423	0.490	0.933	0.804	0.704		0.610	0.490	0.684	0.696	0.793	0.743
0.612		0.452	0.330	0.590	0.496	0.366	0.588	0.798	0.697	0.748		0.650	0.497	0.749	0.559	0.551	0.740
0.717		0.405	0.330	0.576	0.660	0.434	0.717	0.873	0.701	0.758		0.639	0.649	0.692	0.759	0.644	0.667
0.881		0.578	0.511	0.687	0.615	0.404	0.748	0.932	0.876	0.697		0.728	0.502	0.740	0.454	0.676	0.619
0.756		0.591	0.466	0.014	0.503	0.551	0.766	0.863	0.853	0.777		0.651	0.559	0.720	0.257	0.679	0.000
0.624		0.451	0.482	0.529	0.490	0.510	0.848	0.846	0.895	0.780		0.537	0.643	0.708	0.567	0.691	0.667
0.676		0.483	0.730	0.568	0.657	0.430	0.730	0.920	0.870	0.654		0.586	0.685	0.790		0.613	0.738
0.719		0.632	0.836	0.549	0.586	0.582	0.795	0.846	0.794	0.766		0.610	0.657	0.718		0.796	0.641
0.703		0.480	0.537	0.589	0.613	0.467	0.682	0.891	0.867	0.814		0.582	0.570	0.834		0.571	0.857
0.665		0.472	0.692	0.387	0.612	0.679	0.671	0.955	0.805	0.772		0.477		0.660		0.632	0.627
0.695		0.405	0.498	0.511	0.527	0.524	0.693	0.838	0.881	0.765		0.589		0.810		0.766	0.401
0.849		0.385	0.419	0.489	0.584	0.517	0.627	0.862	0.906	0.923		0.599		0.795		0.533	0.502
0.696		0.382	0.506	0.479	0.565	0.492		0.779	0.919	0.776		0.540		0.779		0.565	1.000
0.681		0.516	0.547	0.575		0.468		0.806	0.933	0.785		0.512		0.787		0.669	0.825
0.615		0.193	1.000	0.517		0.523		0.880		0.861		0.425				0.678	0.673
0.574		0.417	0.653	0.464				0.782		0.655		0.686				0.629	0.580
0.838		0.336	0.576	0.469				0.928		0.741		0.694				0.382	0.851
0.922		0.581	0.633	0.597				0.917		0.726		0.725				0.549	0.520
0.529		0.352	0.864	0.553				0.918		0.778		0.668				0.670	0.593
0.704		0.423	0.512	0.316				0.912		0.773		0.651				0.646	0.674
0.660		0.428	0.567	0.356				0.781		0.730		0.597				0.933	0.346
0.691		0.661	0.431	0.641				0.850		0.786						0.461	0.752
0.631		0.515	0.274	0.567				0.895		0.622						0.890	0.580
0.639		0.611	0.410	0.617				0.427		0.740						1.000	0.753
0.542		0.695	0.344	0.565				0.956		0.590						0.256	0.692
		0.629	0.669	0.610				0.701		0.697						0.670	0.880
		0.440	0.713	0.317				0.825		0.739						0.674	0.661
		0.573	0.384	0.488				0.856		0.695						0.700	0.545
		0.565	0.560	0.537				0.556								0.599	0.633
		0.585	0.604	0.634				0.846								0.640	0.734
		0.414	0.584	0.576				0.924								0.509	0.555
		0.458	0.614	0.430				0.855								0.645	0.985
		0.453	0.354	0.703				0.912								0.615	0.684
		0.558	0.155	0.582				0.952								0.686	0.581
		0.559	0.600	0.541				0.787								0.699	0.487
		0.459	0.580	0.487				0.872									0.654
		1.000	0.511	0.490				0.850									0.527
		0.526	0.600	0.580				0.853									0.961
		0.509	0.427	0.445													0.666
		0.483	0.676	0.589													0.801
		0.512	0.623	0.406													0.588
		0.589	0.656	0.535													0.900
		0.440	0.491	0.510													0.686
		0.401	0.562	0.654													0.645
		0.365	0.503	0.513													
		0.423	0.639	0.603													
		0.603	0.721	0.611													
		0.531	0.562														
		0.524	0.326														
		0.396	0.506														
		0.491	0.955														
		0.589	1.000														
		0.486	0.654														
		0.556	0.549														
		0.549	0.584														
		0.507	0.628														
		0.496	0.906														
		0.643	0.581														
		0.532	0.544														
		0.444	0.431														
		0.457	0.641														
		0.466	0.470														
		0.807	0.408														
		0.611	0.688														
		0.370	0.447														
		0.553	0.510														
		0.379	0.736														
		0.329	0.439														
		0.418	0.496														
		0.618	0.628														
		0.609	0.458														
		0.611	0.681														
		0.681															
		0.418															
		0.497															
		0.551															
		0.485															
		0.489															
		0.320															
		0.353															
		0.634															
		0.336															
		0.557															
		0.559															
		0.548															
		0.577															
		0.321															
		0.652															
		0.380															
		0.827															
		0.669															
