Number			1			2			3			4			5			6			7			8			9			10			11			12			13			14			15			16			17			18			19			20			21			22			23			24			25			26			27			28			29			30			31			32			33			34			35			36			37			38			39			40			41			42			43			44			45			46			47			48			49			50			51			52			53			54			55			56			57			58			59			60			61			62			63			64			65			66			67			68			69			70			71			72			73			74			75			76			77	
Mouse ID			HB A117			HB 954			HB A124			HB A197			HB A125			HB A554			HB A286			HB A286			HB A286			HB A404			HB A614			HB A424			HB A424			HB A424			HB A424			HB A424			HB A425			HB A425			HB A425			HB A425			HB A116			HB A550			HB A551			HB A552			HB A123			HB 597			HB 390			HB 598			HB 953			HB 737			HB 736			HB 736			HB 418			HB B30			HB B30			HB A72			HB A72			HB A614			HB A554			HB A767			HB A768			HB A834			HB A834			HB A894			HB A896			HB A614			HB A614			HB A835			HB A554			HB A554			HB A767			HB A767			HB A768			HB A834			HB A954			HB A955			HB A956			HB A993			HB A768			HB A954			HB A956			HB A554			HB A834			HB A896			HB A768			HB A954			HB A955			HB A956			HB A768			HB A834			HB A955			HB A993			HB A955			HB B452			HB B452			HB A954			HB B452	
Pup biopsy HB heteroplasmy (%)		HB A142	11.66154492	M				HB A241	39.00693133	M				HB A201	17.31380284	M				HB A377	25.3854918	M	HB A409	15.15319429	M										HB A555	21.8281346	F	HB A616	24.08717272	M							HB A745	11.90120969	F	HB A544	19.87267263	M	HB A639	15.51425989	M							HB A130	18.3931391	M													HB 696	4.265053056	M							HB A047	4.023423375	M	HB 879	10.8818642	M				HB 958	2.598680487	M	HB 525	2.53228173	M																			HB A911	28.51759905	M	HB A901	71.01690274	M							HB B083	73.1760892	M	HB B073	55.17869837	M																			HB A991	47.22652141	M							HB B108	95.74482532	M	HB B117	94.07840996	M				HB B100	79.2023612	M	HB B129	60.35289214	M										HB B168	52.164086	M	HB B185	26.50665141	F	HB B356	53.90621578	F				HB B391	99.94302871	M							HB B451	72.2117443	F	HB B462	88.55457184	F	HB B321	83.30988118	F				HB B600	35.41871878	F	HB B633	36.61976444	F				HB B675	20.05853466	F
Pup biopsy HB heteroplasmy (%)		HB A143	18.55466316	M										HB A202	22.80396567	M				HB A378	56.49110907	M	HB A410	11.48214071	M										HB A556	13.88370419	M	HB A617	14.95167194	M										HB A545	26.14895942	M	HB A640	7.401596621	M							HB A131	14.38126624	M													HB 697	9.830186683	M							HB A048	14.31771693	M	HB 880	5.948629467	M				HB 959	14.75612229	M	HB 526	7.059096893	M																						HB A902	53.85221428	M										HB B074	72.82271699	M																			HB A992	70.63586925	M							HB B109	96.28979483	M	HB B118	88.94493717	M							HB B130	12.18497091	M										HB B169	50.52277753	M	HB B186	65.85185677	M	HB B357	72.50717206	F				HB B392	99.97940532	F							HB B452	29.19723762	F	HB B463	94.32759451	F	HB B322	77.2971661	F				HB B601	26.865491	F							HB B676	26.09710182	F
Pup biopsy HB heteroplasmy (%)														HB A203	24.21575939	M				HB A379	29.37444421	M	HB A411	28.42734971	M										HB A557	44.54419745	M	HB A618	14.42457058	M										HB A546	15.64444394	M	HB A641	16.45942348	M																						HB 698	37.66146431	M							HB A049	1.736962705	M	HB 881	11.83953496	M							HB 527	7.918269801	M																						HB A903	76.41201503	M										HB B075	58.1661538	M																																								HB B131	59.87215499	M										HB B170	61.74036479	M	HB B187	39.77597472	M	HB B358	58.88207079	F				HB B393	81.56753603	F							HB B453	69.54288583	F				HB B323	83.12452099	F				HB B602	30.63274749	F									
Pup biopsy HB heteroplasmy (%)																				HB A380	25.11368655	M													HB A558	38.40621295	M	HB A619	33.55541862	M										HB A547	19.6229969	M	HB A642	8.624659322	M																															HB A050	5.519433687	M																																																																																								HB B132	21.59631027	M										HB B171	53.31703027	M										HB B394	89.2522386	F							HB B454	48.10711761	F				HB B324	84.86891661	F															
Pup biopsy HB heteroplasmy (%)																																			HB A559	17.53386896	M																HB A643	16.71283822	M																																																																																																																																					HB B172	72.38131271	M										HB B395	81.31667248	F																														
Pup biopsy HB heteroplasmy (%)																																																																																																																																																																																																																																								
Pup biopsy HB heteroplasmy (%)																																																																																																																																																																																																																																								
Pup biopsy HB heteroplasmy (%)																																																																																																																																																																																																																																								
Pup biopsy HB heteroplasmy (%)																																																																																																																																																																																																																																								
Pup biopsy HB heteroplasmy (%)																																																																																																																																																																																																																																								
Pup biopsy HB heteroplasmy (%)																																																																																																																																																																																																																																								
